OBJECTID,ID,Waterfall Name,Alternate Name,Municipality,County,Waterfall Type 1,Waterfall Type 2,Approximate Height (ft),Approximate Height 2 (ft),Access,Comments,Measurement,Date Measured,Stream Name,NJSPC83 Easting (X),NJSPC83 Northing (Y),GlobalID,x,y
26,44,Coopers Glen Falls (Side Falls),,Wantage Twp.,Sussex,Cascade, ,23.7,23.7,Private,"After a rain and in the spring, a small cascade tumbles from the side of the Coopers Glen. The falls is about one mile south of Coleville, on private lands closed to trespassers.",Trimble rangefinder,3/25/2021 12:00:00 AM,Clove Brook,453275.315,885419.299,c12a44dc-0624-45d0-8a46-750279a119e7,453275.315081261,885419.298938192
27,113,Coppermine Brook Falls Lower,,Hardwick Twp.,Warren,Cascade, ,39,13.2,Public,A series of cascades on the lower end of Copper Mine brook.,Trimble rangefinder,5/2/2018 12:00:00 AM,Coppermine Brook,347110.331,802495.464,4b98d949-4e77-422e-9a5a-276fa3a7f1d3,347110.330889344,802495.464130022
28,112,Coppermine Brook Falls Upper,,Hardwick Twp.,Warren,Cascade, ,11,11,Public,Nice small scenic falls on the Copper Mine trail on Copper Mine Brook about a half mile up Kittattiny Mountain from Old Mine Road.,Trimble rangefinder,10/25/2023 12:00:00 AM,Coppermine Brook,347931.62,800727.281,0d8c6683-dc44-46a2-ad76-99d30b4310be,347931.619929176,800727.280986607
29,87,Devils Hole Falls,,Cedar Grove,Essex,Cascade, ,9.34,9.34,Public,Beautiful falls in a small ravine near Little Falls Road.,Trimble rangefinder,11/24/2023 12:00:00 AM,Peckman Creek,567390.946,736698.468,1144a15c-e37a-4171-8608-e030f14d1eb5,567390.946101509,736698.468099609
30,45,Dismal Brook Cascade,,Mendham Twp.,Morris,Cascade, ,7,7,Public,Small picturesque cascade located on Dismal Brook in the Dismal Harmony Natural Area.,Estimate,6/21/2020 12:00:00 AM,Dismal Brook,473633.656,718272.987,da13eb71-3592-40dc-aec5-afea93af28b3,473633.655926175,718272.986906022
31,88,Dunnfield Creek Falls,,Hardwick Twp.,Warren,Cascade, ,17.4,17.4,Public,Located on Dunnfield Creek just off the Appalachian Trail.,Trimble rangefinder,8/2/2018 12:00:00 AM,Dunnfield Creek,320776.59,781483.44,c67d2235-7cba-4d28-a608-1e95024a2640,320776.589921758,781483.439881191
32,46,Dunnfield Creek Natural Area Unnamed Waterfall 1,,Hardwick Twp.,Warren,Cascade, ,6,6,Public,Small rill of a falls adjacent to the parking lot. The thinnest waterfall surveyed.,Estimate,10/30/2019 12:00:00 AM,Delaware River Tributary,320160,779582,63032ec2-785c-440a-a799-33ca30c7b1ab,320159.999947593,779582.000114523
33,47,Dunnfield Creek Natural Area Unnamed Waterfall 2,,Hardwick Twp.,Warren,Cascade, ,15.2,15.2,Public,Small falls next to Dunnfield Creek trail parking area.,Trimble rangefinder,6/4/2019 12:00:00 AM,Delaware River Tributary,320122.584,779598.939,d1194241-ba71-469b-9cc7-2c3acadb9506,320122.584011927,779598.939057022
34,48,Dunnfield Creek Natural Area Unnamed Waterfall 3,,Hardwick Twp.,Warren,Cascade, ,6,6,Public,Small cascade with unknown name at the junction of Appalachian Trail and Dunnfield Trail.,Estimate,10/30/2019 12:00:00 AM,Dunnfield Creek,319193,780411,6a7b3e16-6ef3-403b-a85a-50c9c0fdf951,319192.999913093,780411.00009694
35,49,Dunnfield Creek Natural Area Unnamed Waterfall 4,,Hardwick Twp.,Warren,Cascade, ,6,6,Public,Small cascade with unknown name at the junction of Appalachian Trail and Dunnfield Trail.,Estimate,10/30/2019 12:00:00 AM,Dunnfield Creek,319359,780510,66367620-18ba-47b3-b527-6206768896d9,319358.999909177,780509.99989894
36,26,Dunnfield Creek Natural Area Unnamed Waterfall 5,,Hardwick Twp.,Warren,Cascade, ,6,6,Public,Small cascade with unknown name at the junction of Appalachian Trail and Dunnfield Trail.,Estimate,10/30/2019 12:00:00 AM,Dunnfield Creek,319734,780674,f90920c3-ac23-4c5d-a4a2-8ec23365c50c,319734.000143427,780673.999899022
37,50,Dunnfield Creek Natural Area Unnamed Waterfall 6,,Hardwick Twp.,Warren,Chute, ,7,7,Public,Small cascade with unknown name at the junction of Appalachian Trail and Dunnfield Trail.,Estimate,10/30/2019 12:00:00 AM,Dunnfield Creek,319888,780784,1f204ecc-cd81-41b1-851c-d9a09189825c,319888.00016351,780784.000007108
38,51,Dunnfield Creek Natural Area Unnamed Waterfall 7,,Hardwick Twp.,Warren,Cascade, ,7,7,Public,Small cascade with unknown name at the junction of Appalachian Trail and Dunnfield Trail.,Estimate,10/30/2019 12:00:00 AM,Dunnfield Creek,320008,780866,34c47a4b-3b8a-487a-af22-0037ae0151d7,320007.999923509,780865.999843106
39,52,Dunnfield Creek Natural Area Unnamed Waterfall 8,,Hardwick Twp.,Warren,Cascade, ,3.79,3.79,Public,Small cascade with unknown name at the junction of Appalachian Trail and Dunnfield Trail.,Estimate,10/30/2019 12:00:00 AM,Dunnfield Creek,320063,780956,b61deb38-924c-4e70-b2f2-5ea02628fc4a,320063.000141591,780955.999991193
40,53,Englewood Boat Basin Falls,,Englewood Cliffs Borough,Bergen,Cascade, ,25,25,Public,Nice waterfall along the Palisades.,Trimble rangefinder,10/26/2017 12:00:00 AM,Hudson River Tributary,644762.055,745038.351,fa920993-05dd-4db1-8601-630cbfe95026,644762.05513851,745038.35102611
41,81,Flat Brook Tributary Unnamed Waterfall 1,,Walpack Twp.,Sussex,Cascade, ,4,4,Public,"Small waterfall on west side of Kittattinny Mountain, mapped from Trout Unlimited map. Not visited. Actual height unknown.",Estimate,6/7/2023 12:00:00 AM,Flat Brook Tributary,378687.258,834417.117,7ce0915c-d632-4323-8391-5080e67a4a81,378687.257892843,834417.117150106
42,82,Flat Brook Tributary Unnamed Waterfall 2,,Walpack Twp.,Sussex,Cascade, ,4,4,Public,"Small waterfall on west side of Kittattinny Mountain, mapped from Trout Unlimited map. Not visited. Actual height unknown.",Estimate,6/7/2023 12:00:00 AM,Flat Brook Tributary,379009.76,833615.747,a1305b00-4074-43b8-ada5-89844aee7e09,379009.759872511,833615.747033693
43,83,Flat Brook Tributary Unnamed Waterfall 3,,Walpack Twp.,Sussex,Cascade, ,4,4,Public,"Small waterfall on west side of Kittattinny Mountain, mapped from Trout Unlimited map. Not visited. Actual height unknown.",Estimate,6/7/2023 12:00:00 AM,Flat Brook Tributary,379689.652,832340.396,e1f806eb-dd3f-41a9-8256-262dc999381e,379689.651885428,832340.395909861
44,84,Flat Brook Tributary Unnamed Waterfall 4,,Walpack Twp.,Sussex,Cascade, ,4,4,Public,"Small waterfall on west side of Kittattinny Mountain, mapped from Trout Unlimited map. Not visited. Actual height unknown.",Estimate,6/7/2023 12:00:00 AM,Flat Brook Tributary,379429.991,832653.125,036f3b4e-cf7b-4c9f-a1a3-1af1750a0445,379429.990987428,832653.124943189
45,85,Great Falls of the Passaic,"Totowa Falls, Great Falls",Paterson,Passaic,Block Waterfall,,77,77,Public,"Small waterfall on west side of Kittattinny Mountain, mapped from Trout Unlimited map. Not visited. Actual height unknown.",Literature search,8/5/2017 12:00:00 AM,Passaic River,580237.919,758669.41,4b355710-705f-4eaf-bbff-6343e3cb0afe,580237.919095177,758669.410050027
46,89,Greenbrook Falls,,Alpine Borough,Bergen,Plunge,Cascade,250,85,Public,"The estimated 250-foot Greenbrook Falls is New Jersey's highest falls. It has at least three large cascades with one being the tallest drop in NJ. GPS location is from top.  Bridge location is N-760502.744, E-650209.184. Along Henry Hudson Drive.",Literature search,5/3/2018 12:00:00 AM,Green Brook,650098.647,760552.154,30d91fd4-9799-4f6b-ba34-31e2cfe94b47,650098.647155594,760552.153987944
47,104,Hacklebarney State Park Unnamed Waterfall 1,,Chester Twp.,Morris,Cascade, ,8.73,8.73,Public,Small falls on a Lamington River Tributary off of the Haki Trail.,Trimble rangefinder,8/24/2023 12:00:00 AM,Trout Brook,429614.871,697462.803,9020d82a-578a-41af-b4d9-63a81fb96894,429614.870932426,697462.803132772
48,54,Hacklebarney State Park Unnamed Waterfall 2,,Chester Twp.,Morris,Cascade, ,6.97,5.04,Public,Two nice two tiered waterfall on a Lamington River Tributary just off of the Haki Trail.,Trimble rangefinder,8/24/2021 12:00:00 AM,Trout Brook,429561.134,697467.35,b8c7d72e-8ce5-419c-a7e3-471170d414ca,429561.13416326,697467.350039691
49,55,Hacklebarney State Park Unnamed Waterfall 3,,Chester Twp.,Morris,Cascade, ,4.33,4.33,Public,Impressive small falls located on the Lamington  River.,Trimble rangefinder,8/4/2021 12:00:00 AM,Lamington River,428719.141,696739,bd984809-c64a-454a-b222-b362ad1d635c,428719.141096592,696739.000118442
50,56,Hemlock Falls,,Maplewood,Essex,Cascade,,25.7,25.7,Public,Hemlock Falls in South Mountain Reservation is one of New Jersey's most visited waterfalls.,Trimble rangefinder,3/13/2020 12:00:00 AM,Rahway River Tributary,550751.253,698346.851,ed163a7e-99d1-4353-84e0-28f75476fed0,550751.253003009,698346.850905359
51,111,Hewitt Falls,Hewitt Mine Hole Falls,West Milford Twp.,Passaic,Chute, ,16.23,14,Public,Hewitt Falls is within Long Pond Ironworks State Park. It is formed where the Wanaque River funnels through a hemlock-shrouded ravine into a deep pool. Hewitt Falls powered the old Long Pond Ironworks from the late 1750s to the late 1800s.,Trimble rangefinder,2/5/2019 12:00:00 AM,Wanaque River,544352.607,842809.223,c3575b71-a07c-43f3-afa2-72593b64676c,544352.607007675,842809.223069273
52,57,Hobble Falls,Black Rock Falls,Maplewood,Essex,Cascade,,22.5,22.5,Public,Located just off South Orange Ave. A short hike from Hemlock Falls In South Mountain Reservation.,Trimble rangefinder,1/11/2018 12:00:00 AM,Rahway River Tributary,550669.619,698646.104,1d9176c9-438e-4cc2-bc6f-fe1e9764e78a,550669.618979927,698646.103915773
